//Item key;item id;item meta;label (indicative only)

akwardpotion;373;16;Poção
alchemistamulet;mln24;0;
alchimistexplosive;1519;3;
arrow;262;0;Flecha
beefcooked;364;0;Bife
beefraw;363;0;Bife Cru
bone;352;0;Osso
book;340;0;Livro
bookshelves;47;0;Estante
bottle;374;0;Garrafa de vidro
boudin;mln21;0;
bow;261;0;Arco
bowlempty;281;0;Tigela
bowlsoup;282;0;Sopa de Cogumelos
bread;297;0;Pão
brickmould;mln32;0;
bucketempty;325;0;Balde
bucketlava;327;0;Balde de Lava
bucketmilk;335;0;Leite
bucketwater;326;0;Balde de Água
cactus;81;0;Cacto
cake;92;0;Bolo
calva;mln5;0;
chickencurry;mln31;0;
chickenmeat;365;0;Frango Cru
cider;mln4;0;
ciderapple;mln3;0;
clay;337;0;Argila
clock;347;0;Relógio
coal;263;0;Carvão
cobblestone;4;0;Pedregulho
compass;345;0;Bússola
cookedbrick;1519;0;
cookedfish;350;0;Peixe Assado
cookie;357;0;Biscoito
denier;mln0;0;
denierargent;mln2;0;
denieror;mln1;0;
diamond;264;0;Diamante
diamondaxe;279;0;Machado de Diamante
diamondboots;313;0;Botas de Diamante
diamondchest;311;0;Peitoral de Diamante
diamondhelmet;310;0;Capacete de Diamante
diamondhoe;293;0;Enxada de Diamante
diamondlegs;312;0;Perneiras de Diamante
diamondpickaxe;278;0;Picareta de Diamante
diamondshovel;277;0;Pá de Diamante
diamondsword;276;0;Espada de Diamante
dirt;3;0;Terra
dirtwall;1518;1;
dye_black;351;0;Saco de Tinta
dye_blue;351;4;Lápis-Lazúli
dye_brown;351;3;Sementes de Cacau
dye_cyan;351;6;Corante Ciano
dye_gray;351;8;Corante Cinza
dye_green;351;2;Verde Cacto
dye_lightblue;351;12;Corante Azul-claro
dye_lightgray;351;7;Corante Cinza-claro
dye_magenta;351;13;Corante Magenta
dye_orange;351;14;Corante Laranja
dye_pink;351;9;Corante Rosa
dye_purple;351;5;Corante Lilás
dye_red;351;1;Vermelho Rosa
dye_white;351;15;Farinha de Osso
dye_yellow;351;11;Amarelo Dente-de-Leão
egg;344;0;Ovo
enderpearl;368;0;Pérola de Ender
feather;288;0;Pena
fishcooked;350;0;Peixe Assado
fishraw;349;0;Peixe Cru
flint;318;0;Pederneira
flintandsteel;259;0;Isqueiro
glass;20;0;Vidro
gold;266;0;Barra de Ouro
goldore;14;0;Minério de Ouro
gunpowder;289;0;Pólvora
indianstatue;mln34;0;
iron;265;0;Barra de Ferro
ironore;15;0;Minério de Ferro
japaneseguardboots;mln70;0;
japaneseguardhelmet;mln68;0;
japaneseguardlegs;mln67;0;
japaneseguardplate;mln69;0;
japanesewarriorblueboots;mln62;0;
japanesewarriorbluehelmet;mln60;0;
