
OptiFine_1.2.5_HD_C6
Wed Nov 01 02:21:59 GMT 2023
OS: Windows 10 (amd64) version 10.0
Java: 1.8.0_391, Oracle Corporation
VM: Java HotSpot(TM) 64-Bit Server VM (mixed mode), Oracle Corporation
LWJGL: 2.9.4
OpenGL: NVIDIA GeForce RTX 3060/PCIe/SSE2 version 4.6.0 NVIDIA 546.01, NVIDIA Corporation
OpenGL Version: 4.0
Loading /font/default.properties
Loading /font/alternate.properties
TextureFX registered: buildcraft.energy.TextureOilFX@5ec6531a, texId: 84, index: 205
TextureFX registered: buildcraft.energy.TextureFuelFX@6775d88d, texId: 85, index: 48
TextureFX registered: buildcraft.energy.TextureOilFlowFX@bc719fa, texId: 84, index: 206
TextureFX registered: ModTextureStatic /terrain.png @ 144, texId: 84, index: 144
TextureFX registered: ModTextureStatic /terrain.png @ 145, texId: 84, index: 145
TextureFX registered: ModTextureStatic /terrain.png @ 146, texId: 84, index: 146
TextureFX registered: ModTextureStatic /terrain.png @ 147, texId: 84, index: 147
TextureFX registered: ModTextureStatic /terrain.png @ 148, texId: 84, index: 148
TextureFX registered: ModTextureStatic /terrain.png @ 149, texId: 84, index: 149
TextureFX registered: ModTextureStatic /terrain.png @ 150, texId: 84, index: 150
TextureFX registered: ModTextureStatic /terrain.png @ 151, texId: 84, index: 151
TextureFX registered: ModTextureStatic /terrain.png @ 152, texId: 84, index: 152
TextureFX registered: ModTextureStatic /terrain.png @ 153, texId: 84, index: 153
TextureFX registered: ModTextureStatic /terrain.png @ 154, texId: 84, index: 154
TextureFX registered: ModTextureStatic /terrain.png @ 155, texId: 84, index: 155
TextureFX registered: ModTextureStatic /terrain.png @ 156, texId: 84, index: 156
TextureFX registered: ModTextureStatic /terrain.png @ 157, texId: 84, index: 157
TextureFX registered: ModTextureStatic /terrain.png @ 158, texId: 84, index: 158
TextureFX registered: ModTextureStatic /terrain.png @ 159, texId: 84, index: 159
TextureFX registered: ModTextureStatic /terrain.png @ 160, texId: 84, index: 160
TextureFX registered: ModTextureStatic /terrain.png @ 161, texId: 84, index: 161
TextureFX registered: ModTextureStatic /terrain.png @ 162, texId: 84, index: 162
TextureFX registered: ModTextureStatic /terrain.png @ 163, texId: 84, index: 163
TextureFX registered: ModTextureStatic /terrain.png @ 164, texId: 84, index: 164
TextureFX registered: ModTextureStatic /terrain.png @ 165, texId: 84, index: 165
TextureFX registered: ModTextureStatic /terrain.png @ 166, texId: 84, index: 166
TextureFX registered: forestry.core.TextureBiomassFX@280f9bff, texId: 38, index: 13
TextureFX registered: forestry.core.TextureBiofuelFX@73452432, texId: 38, index: 12
TextureFX registered: forestry.factory.TextureMilkFX@51545fe1, texId: 38, index: 15
TextureFX registered: forestry.core.TextureHoneyFX@5e9d281a, texId: 38, index: 76
TextureFX registered: forestry.factory.TextureSeedOilFX@a198055, texId: 38, index: 74
TextureFX registered: forestry.core.TextureJuiceFX@50274190, texId: 38, index: 75
TextureFX registered: forestry.core.TextureMeadFX@237fa722, texId: 38, index: 77
TextureFX registered: forestry.core.TextureGlassFX@149586af, texId: 38, index: 49
TextureFX registered: forestry.core.TextureHabitatLocatorFX@49ec3d79, texId: 38, index: 105
TextureFX registered: ModTextureStatic /terrain.png @ 167, texId: 84, index: 167
TextureFX registered: ModTextureStatic /terrain.png @ 168, texId: 84, index: 168
TextureFX registered: ModTextureStatic /terrain.png @ 169, texId: 84, index: 169
TextureFX registered: ModTextureStatic /terrain.png @ 170, texId: 84, index: 170
TextureFX registered: ModTextureStatic /terrain.png @ 171, texId: 84, index: 171
TextureFX registered: ModTextureStatic /terrain.png @ 172, texId: 84, index: 172
TextureFX registered: ModTextureStatic /terrain.png @ 173, texId: 84, index: 173
TextureFX registered: ModTextureStatic /terrain.png @ 174, texId: 84, index: 174
TextureFX registered: ModTextureStatic /terrain.png @ 175, texId: 84, index: 175
TextureFX registered: ModTextureStatic /terrain.png @ 176, texId: 84, index: 176
TextureFX registered: ModTextureStatic /terrain.png @ 177, texId: 84, index: 177
TextureFX registered: ModTextureStatic /terrain.png @ 178, texId: 84, index: 178
TextureFX registered: ModTextureStatic /terrain.png @ 179, texId: 84, index: 179
TextureFX registered: ModTextureStatic /terrain.png @ 180, texId: 84, index: 180
TextureFX registered: ModTextureStatic /terrain.png @ 181, texId: 84, index: 181
TextureFX registered: ModTextureStatic /terrain.png @ 182, texId: 84, index: 182
TextureFX registered: ModTextureStatic /terrain.png @ 183, texId: 84, index: 183
TextureFX registered: ModTextureStatic /terrain.png @ 184, texId: 84, index: 184
TextureFX registered: railcraft.render.TextureCreosoteOilFX@1f76d731, texId: 55, index: 0
TextureFX registered: ModTextureStatic /terrain.png @ 185, texId: 84, index: 185
TextureFX registered: ModTextureStatic /terrain.png @ 186, texId: 84, index: 186
TextureFX registered: ModTextureStatic /terrain.png @ 187, texId: 84, index: 187
TextureFX registered: ModTextureStatic /terrain.png @ 188, texId: 84, index: 188
TextureFX registered: bv@5ffb175b, texId: 87, index: 237
TextureFX registered: qa@190fe32d, texId: 87, index: 205
TextureFX registered: zp@e987046, texId: 87, index: 14
TextureFX registered: tu@9a2356c, texId: 231, index: 54
TextureFX registered: ht@4ca9e720, texId: 231, index: 70
TextureFX registered: ael@6e30cbfd, texId: 87, index: 206
TextureFX registered: gf@2ff674d0, texId: 87, index: 238
TextureFX registered: nh@2a3ed82a, texId: 87, index: 31
TextureFX registered: nh@56eb7b02, texId: 87, index: 47
TextureFX removed: bv@5ffb175b, texId: 87, index: 237
TextureFX registered: TextureHDLavaFX@4a53590, texId: 87, index: 237
TextureFX removed: qa@190fe32d, texId: 87, index: 205
TextureFX registered: TextureHDWaterFX@15cc3e76, texId: 87, index: 205
TextureFX removed: zp@e987046, texId: 87, index: 14
TextureFX registered: TextureHDPortalFX@3def2dbc, texId: 87, index: 14
TextureFX removed: ael@6e30cbfd, texId: 87, index: 206
TextureFX registered: TextureHDWaterFlowFX@3a1f70a4, texId: 87, index: 206
TextureFX removed: gf@2ff674d0, texId: 87, index: 238
