
OptiFine_1.4.6_HD_U_D5
Fri Mar 21 18:02:27 GMT 2025
OS: Windows 11 (amd64) version 10.0
Java: 1.8.0_441, Oracle Corporation
VM: Java HotSpot(TM) 64-Bit Server VM (mixed mode), Oracle Corporation
LWJGL: 2.9.4
OpenGL: NVIDIA GeForce RTX 3060/PCIe/SSE2 version 4.6.0 NVIDIA 572.70, NVIDIA Corporation
OpenGL Version: 4.0
(Reflector) Class not present: LightCache
(Reflector) Class not present: BlockCoord
TextureFX registered: ic2.core.TextureLiquidFX@759404a0, texId: 11, index: 202
TextureFX registered: bdj@486b732, texId: 19, index: 237
TextureFX registered: bdm@232f7436, texId: 19, index: 205
TextureFX registered: bdk@5eedbda, texId: 19, index: 14
TextureFX registered: bdf@113512e, texId: 20, index: 54
TextureFX registered: bde@53dfd922, texId: 20, index: 70
TextureFX registered: bdl@252f1edb, texId: 19, index: 206
TextureFX registered: bdi@38943b6b, texId: 19, index: 238
TextureFX registered: bdh@267710ad, texId: 19, index: 31
TextureFX registered: bdh@4de1d1fd, texId: 19, index: 47
TextureFX removed: bdj@486b732, texId: 19, index: 237
TextureFX registered: TextureHDLavaFX@2a3dbfdc, texId: 19, index: 237
TextureFX removed: bdm@232f7436, texId: 19, index: 205
TextureFX registered: TextureHDWaterFX@76c9de55, texId: 19, index: 205
TextureFX removed: bdk@5eedbda, texId: 19, index: 14
TextureFX registered: TextureHDPortalFX@4e35dece, texId: 19, index: 14
TextureFX removed: bdl@252f1edb, texId: 19, index: 206
TextureFX registered: TextureHDWaterFlowFX@304d7b23, texId: 19, index: 206
TextureFX removed: bdi@38943b6b, texId: 19, index: 238
TextureFX registered: TextureHDLavaFlowFX@534737c6, texId: 19, index: 238
TextureFX removed: bdh@267710ad, texId: 19, index: 31
TextureFX registered: TextureHDFlamesFX@a873474, texId: 19, index: 31
TextureFX removed: bdh@4de1d1fd, texId: 19, index: 47
TextureFX registered: TextureHDFlamesFX@6106bb98, texId: 19, index: 47
TextureFX removed: bdf@113512e, texId: 20, index: 54
TextureFX registered: TextureHDCompassFX@73495526, texId: 20, index: 54
TextureFX removed: bde@53dfd922, texId: 20, index: 70
TextureFX registered: TextureHDWatchFX@4c10166c, texId: 20, index: 70
Loading custom colors: /misc/grasscolor.png
Loading custom colors: /misc/foliagecolor.png
TextureFX registered: buildcraft.energy.render.TextureOilFX@2ec09fae, texId: 22, index: 205
TextureFX registered: buildcraft.energy.render.TextureFuelFX@34bc0f0d, texId: 23, index: 0
TextureFX registered: buildcraft.energy.render.TextureOilFlowFX@5ccd8266, texId: 22, index: 206
TextureFX registered: com.pahimar.ee3.client.renderer.texturefx.TextureRedWaterFX@702ba3bb, texId: 111, index: 205
TextureFX registered: com.pahimar.ee3.client.renderer.texturefx.TextureRedWaterFlowFX@fc4c582, texId: 111, index: 206
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@49ae1fe1, texId: 113, index: 0
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@763be380, texId: 113, index: 1
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@590a2e96, texId: 113, index: 2
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@11242203, texId: 113, index: 3
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@2344195b, texId: 113, index: 4
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@522b615d, texId: 113, index: 5
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@7aed7352, texId: 113, index: 6
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@7beee71d, texId: 113, index: 7
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@7b867eb3, texId: 113, index: 8
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@12061587, texId: 113, index: 9
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@5832f9c7, texId: 113, index: 10
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@75c31920, texId: 113, index: 11
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@44b20d04, texId: 113, index: 12
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@31a396f5, texId: 113, index: 13
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@359463e, texId: 113, index: 14
TextureFX registered: alz.mods.enhancedportals.client.TextureNetherPortalFX@72515b6, texId: 113, index: 15
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@3a6d7e2, texId: 40, index: 0
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@21d4b91a, texId: 40, index: 1
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@77668eb5, texId: 40, index: 2
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@2632ec17, texId: 40, index: 3
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@131e26f4, texId: 40, index: 4
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@170641e4, texId: 40, index: 5
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@54d66697, texId: 40, index: 6
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@65b56a4e, texId: 40, index: 7
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@7fec98a, texId: 40, index: 8
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@2252a1f0, texId: 40, index: 9
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@455789f3, texId: 40, index: 10
TextureFX registered: thermalexpansion.core.render.TextureRedstoneFX@b7e7c0d, texId: 40, index: 11
